Sample_ID,Date,State,City,Water_Source,pH,Turbidity_NTU,Dissolved_Oxygen,TDS_mg_L,Conductivity,Temperature_C,Water_Quality
1001,2025-01-01,Tamil Nadu,Chennai,Borewell,7.8,5.2,8.5,315.0,363,24.2,Poor
1002,2025-01-02,Telangana,Hyderabad,River,9.0,5.6,6.3,449.0,494,25.6,Moderate
1003,2025-01-03,Karnataka,Unknown,River,5.5,5.5,5.7,383.0,613,30.8,Poor
1004,2025-01-04,Telangana,Hyderabad,Tap,5.8,4.4,8.4,272.0,283,30.5,Good
1005,2025-01-05,Tamil Nadu,Madurai,River,8.0,3.6,8.8,169.0,450,26.0,Good
1006,2025-01-06,Tamil Nadu,Unknown,River,8.4,2.8,5.3,149.0,554,29.7,Poor
1007,2025-01-07,Telangana,Hyderabad,Lake,6.4,1.4,8.7,549.0,324,32.8,Poor
1008,2025-01-08,Tamil Nadu,Chennai,River,5.5,4.1,7.7,345.0,660,23.7,Good
1009,2025-01-09,Kerala,Trivandrum,Lake,8.3,5.3,8.6,432.0,453,22.4,Good
1010,2025-01-10,Kerala,Trivandrum,River,7.0,4.3,5.8,487.0,491,29.0,Poor
1011,2025-01-01,Karnataka,Mysuru,Tap,8.5,1.4,6.9,203.0,368,25.6,Moderate
1012,2025-01-12,Karnataka,Bengaluru,Lake,8.5,3.7,6.6,164.0,493,26.9,Unknown
1013,2025-01-13,Kerala,Trivandrum,Reservoir,0.0,4.9,8.9,262.0,262,28.9,Excellent
1014,2025-01-14,Maharashtra,Pune,Lake,5.5,0.9,8.2,303.0,468,30.8,Good
1015,2025-01-15,Maharashtra,Mumbai,Tap,7.8875,4.4,8.2,188.0,404,30.2,Moderate
1016,2025-01-16,Telangana,Hyderabad,River,6.6,3.6,8.6,208.0,510,-2.0,Excellent
1017,2025-01-17,Karnataka,Bengaluru,Reservoir,9.1,2.6,5.1,414.0,380,27.2,Excellent
1018,2025-01-18,Karnataka,Mysuru,Tap,9.4,1.6,8.4,174.0,582,33.0,Unknown
1019,2025-01-19,Tamil Nadu,Unknown,Borewell,9.1,5.3,6.3,229.0,691,26.7,Poor
1020,2025-01-20,Karnataka,Mysuru,Tap,8.4,5.0,8.8,356.0,440,25.2,Unknown
1021,2025-01-01,Kerala,Kochi,Tap,7.2,0.9,7.7,358.0,277,26.1,Poor
1022,2025-01-22,Maharashtra,Pune,River,5.7,4.0,8.9,512.0,306,31.3,Excellent
1023,2025-01-23,Maharashtra,Mumbai,River,8.0,2.0,5.3,156.0,394,22.5,Excellent
1024,2025-01-24,Maharashtra,Pune,Reservoir,7.7,5.9,5.5,153.0,538,27.4,Moderate
1025,2025-01-25,Tamil Nadu,Chennai,Reservoir,6.3,0.7,6.8,329.0,671,32.2,Excellent
1026,2025-01-26,Kerala,Trivandrum,Tap,5.6,5.9,5.7,459.0,604,32.0,Excellent
1027,2025-01-27,Maharashtra,Pune,Unknown,6.4,2.2,7.0,417.0,432,20.9,Good
1028,2025-01-28,Tamil Nadu,Chennai,Lake,8.9,0.8,5.7,306.0,676,21.5,Good
1029,2025-01-29,Kerala,Kochi,Lake,7.5,2.3,5.6,355.0,261,28.1,Poor
1030,2025-01-30,Kerala,Kochi,Reservoir,9.2,4.9,5.5,403.0,407,24.0,Excellent
1031,2025-01-01,Karnataka,Bengaluru,Lake,5.6,5.4,6.0,491.0,677,29.7,Moderate
